abierto
alegre
altivo
alto
analgésico
anaranjado
anciano
añejo
animado
antipático
apabullante
apaisado
apropiado
arrogante
asqueroso
atlético
atrevido
azulado
azuzado
bajo
bárbaro
barrigudo
bonito
calamitoso
callado
campechano
canijo
característico
cariñoso
celebérrimo
cerrado
chiflado
chillón
chulo
clarividente
cobarde
colorado
confiado
corpulento
cretino
decidido
delgado
deportivo
descuidado
dinámico
discreto
divertido
educado
egoísta
elegante
embelesado
empecinado
enfermo
engreído
ennegrecido
enrojecido
esperpéntico
espinoso
estático
exigente
fanático
fanfarrón
fatídico
feliz
feo
flaco
fuerte
gordo
grisáceo
grosero
grosero
hábil
hablador
imaginativo
increíble
inesperado
inhóspito
inmóvil
inseguro
insolidario
inteligente
inútil
irresponsable
jorobado
joven
lento
llorón
loco
magnífico
majestuoso
majo
maldito
malhumorado
malparado
marrón
moderno
nervioso
obsoleto
optimista
orgulloso
osado
oscuro
parsimonioso
perezoso
pesimista
pobre
presumido
prudente
quieto
rápido
reflexivo
risueño
robusto
rojizo
sano
sencillo
sensible
serio
simpático
sincero
soberbio
sociable
sofisticado
solitario
temerario
tímido
trabajador
tradicional
tramposo
tranquilo
tremendo
triste
vago
valiente
verdoso
viejo
zalamero
